loop,time,pressure
0,0.10199713706970215,256
1,2.46966814994812,6
3,4.472870588302612,258
4,5.475660800933838,257
5,6.477330446243286,56
6,7.479646682739258,56
7,8.481843709945679,258
8,9.483104228973389,256
9,10.48521375656128,254
10,11.48625373840332,255
11,12.487346887588501,255
12,13.48951268196106,256
13,14.491088390350342,254
14,15.493225336074829,254
15,16.495290279388428,253
16,17.496867656707764,255
17,18.498456239700317,254
18,19.500566244125366,254
19,20.50283646583557,252
20,21.504902124404907,252
21,22.507424354553223,255
22,23.50954508781433,252
23,24.511099100112915,253
24,25.513204097747803,252
25,26.51442003250122,251
26,27.5158748626709,251
27,28.517772912979126,249
28,29.51947569847107,250
29,30.52054476737976,250
30,31.522385120391846,251
31,32.52467966079712,251
32,33.527400970458984,248
33,34.529988527297974,250
34,35.5323691368103,249
35,36.5335807800293,250
36,37.535632848739624,249
37,38.53772759437561,248
38,39.53964376449585,248
39,40.54246497154236,248
40,41.543625354766846,248
41,42.54510021209717,249
42,43.54739022254944,247
43,44.54945206642151,248
44,45.552451372146606,246
45,46.553499698638916,248
46,47.5554256439209,247
47,48.557926177978516,247
48,49.559638023376465,245
49,50.56119251251221,250
50,51.56237077713013,245
51,52.56416583061218,247
52,53.566128969192505,246
53,54.56759071350098,247
54,55.56934571266174,247
55,56.571383476257324,246
56,57.57333183288574,244
57,58.576425075531006,248
58,59.57818579673767,246
59,60.580519676208496,247
60,61.58245778083801,245
61,62.58500361442566,246
62,63.5873589515686,245
63,64.58943700790405,247
64,65.59217882156372,249
65,66.59447121620178,246
66,67.59635734558105,246
67,68.597580909729,246
68,69.60038471221924,246
69,70.6016755104065,248
70,71.60432434082031,245
71,72.60640931129456,249
72,73.60844326019287,245
73,74.60949873924255,246
74,75.61139011383057,245
75,76.61344194412231,247
76,77.61541032791138,245
77,78.61746621131897,248
78,79.61883664131165,247
79,80.62048554420471,247
80,81.6227490901947,244
81,82.62437772750854,245
82,83.62643575668335,245
83,84.62843465805054,244
84,85.63036012649536,246
85,86.6333556175232,245
86,87.63546919822693,245
87,88.6369309425354,244
88,89.63945889472961,246
89,90.64133262634277,244
90,91.642507314682,247
91,92.6445779800415,244
92,93.6459321975708,246
93,94.6484727859497,244
94,95.65049886703491,246
95,96.65275239944458,245
96,97.65443420410156,244
97,98.65633392333984,244
98,99.65833616256714,245
99,100.66043472290039,244
100,101.66229248046875,245
101,102.66440320014954,244
102,103.66566705703735,247
103,104.66822934150696,243
104,105.66975545883179,245
105,106.67116403579712,244
106,107.67317128181458,247
107,108.67501330375671,244
108,109.67735695838928,244
110,111.68078398704529,244
111,112.68262434005737,46
112,113.68446660041809,3
114,115.68843817710876,246
115,116.69042134284973,244
116,117.69249868392944,245
117,118.69390153884888,244
118,119.69635057449341,245
119,120.69835376739502,243
120,121.6994616985321,245
121,122.70053267478943,245
122,123.7024736404419,244
123,124.70381045341492,244
124,125.70642304420471,244
125,126.70838689804077,242
126,127.70926094055176,244
127,128.7118582725525,242
128,129.71374821662903,243
129,130.7164487838745,243
130,131.717520236969,242
131,132.7203710079193,243
132,133.72214794158936,244
133,134.72446727752686,243
134,135.72647833824158,244
135,136.7276268005371,244
136,137.73010849952698,243
137,138.73149275779724,243
138,139.73347306251526,245
139,140.7360064983368,242
140,141.73770022392273,242
141,142.74042463302612,242
142,143.74242329597473,243
143,144.74452185630798,243
144,145.74651741981506,243
145,146.74833273887634,244
146,147.75072169303894,242
147,148.7528476715088,243
148,149.75538802146912,244
149,150.75644373893738,242
150,151.7593264579773,242
151,152.7604706287384,242
152,153.76236653327942,243
153,154.76452112197876,244
154,155.76653146743774,243
155,156.76826357841492,242
156,157.77027368545532,242
157,158.77140378952026,243
158,159.77321481704712,241
159,160.77519941329956,243
160,161.77791047096252,241
161,162.77944779396057,244
162,163.78143572807312,244
163,164.78370666503906,241
164,165.78535914421082,242
165,166.78799867630005,242
166,167.79046154022217,242
167,168.79177737236023,244
168,169.7933316230774,241
169,170.79533457756042,241
170,171.79745984077454,240
171,172.79949498176575,243
172,173.80239391326904,242
173,174.80436182022095,242
174,175.80638194084167,241
175,176.80844807624817,242
