loop,time,pressure,mass
0,0.10035324096679688,395,4.682
1,2.713646411895752,395,4.682
2,3.8495500087738037,395,4.682
3,4.985568046569824,395,4.682
4,6.122644901275635,394,4.682
5,7.243531942367554,395,4.682
6,8.394576787948608,396,4.682
7,9.523486852645874,393,4.682
8,10.645507335662842,395,4.682
9,11.778634786605835,395,4.682
10,12.92956280708313,395,4.682
11,14.063592195510864,394,4.682
12,15.201572895050049,397,4.682
13,16.33653235435486,395,4.682
14,17.473493099212646,395,4.682
15,18.608340978622437,395,4.682
16,19.745354652404785,395,4.682
17,20.863343238830566,395,4.682
18,22.014368534088135,396,4.682
19,23.14940071105957,396,4.682
20,24.270282983779907,396,4.682
21,25.417335510253906,396,4.682
22,26.53942894935608,397,4.682
23,27.66831684112549,395,4.682
24,28.8043532371521,395,4.682
25,29.939595937728882,395,4.682
26,31.090473651885986,394,4.682
27,32.21044898033142,395,4.682
28,33.345404624938965,396,4.682
29,34.4814727306366,394,4.682
30,35.61830544471741,395,4.682
31,36.752297163009644,396,4.682
32,37.90330386161804,395,4.682
33,39.03335905075073,396,4.682
34,40.16937279701233,94,4.682
35,41.28936719894409,396,4.682
36,42.43836212158203,395,4.682
37,43.56036305427551,395,4.682
38,44.71030139923096,395,4.682
39,45.83136296272278,395,4.682
40,46.976245403289795,395,4.682
41,48.098206758499146,395,4.682
42,49.23218011856079,395,4.682
43,50.36920785903931,394,4.682
44,51.51814365386963,395,4.682
45,52.640169858932495,395,4.682
46,53.77319264411926,395,4.682
47,54.924208641052246,395,4.682
48,56.04220628738403,395,4.682
49,57.192187786102295,397,4.682
50,58.31416702270508,395,4.682
51,59.44931936264038,394,4.682
52,60.59616470336914,396,4.682
53,61.71915340423584,396,4.682
54,62.85419297218323,397,4.682
55,63.99017357826233,396,4.682
56,65.12212181091309,393,4.679
57,66.28415584564209,394,4.677
58,67.40718483924866,393,4.676
59,68.54427361488342,395,4.676
60,69.65724849700928,396,4.676
61,70.792236328125,5,4.677
62,71.92425799369812,395,4.677
63,73.06124138832092,396,4.678
64,74.21124815940857,396,4.678
65,75.34925508499146,397,4.675
66,76.49021124839783,401,4.674
67,77.69416379928589,403,4.674
68,78.8281638622284,402,4.673
69,79.95516896247864,401,4.67
70,81.15718913078308,401,4.667
71,82.29318428039551,401,4.665
72,83.44617009162903,400,4.663
73,84.5691647529602,400,4.662
74,85.70810627937317,400,4.661
75,86.85818457603455,400,4.66
76,87.98412919044495,401,4.658
77,89.12008857727051,399,4.657
79,91.27362203598022,0,4.656
80,92.41605877876282,399,4.656
81,93.55217003822327,398,4.655
82,94.68712735176086,399,4.655
83,95.90111184120178,401,4.655
84,97.02011203765869,401,4.655
85,98.1540937423706,401,4.654
86,99.30412125587463,399,4.653
87,100.51205015182495,0,4.652
88,101.63802719116211,395,4.651
89,102.77404046058655,398,4.65
91,104.92758417129517,392,4.648
92,106.09406566619873,400,4.647
93,107.24502801895142,397,4.646
94,108.38402795791626,397,4.645
95,109.50700521469116,399,4.643
96,110.64503288269043,396,4.642
97,111.78208470344543,396,4.641
98,112.92102718353271,395,4.64
99,114.05804753303528,396,4.639
100,115.21001863479614,393,4.638
101,116.3480167388916,396,4.636
102,117.472012758255,396,4.634
103,118.60903525352478,398,4.632
104,119.74800634384155,395,4.632
105,120.88600778579712,395,4.628
106,122.05598878860474,397,4.628
107,123.2239637374878,398,4.628
108,124.41390323638916,392,4.627
109,125.54693722724915,395,4.626
110,126.6879096031189,393,4.625
111,127.80894899368286,393,4.623
112,128.9489550590515,399,4.622
113,130.09896111488342,400,4.621
116,133.2399604320526,394,4.615
117,134.44383025169373,393,4.612
