loop,time,pressure,mass
0,0.10029983520507812,387,9.371
1,2.681480646133423,346,9.371
2,3.8314292430877686,322,9.371
3,4.971351385116577,310,9.37
4,6.14040470123291,303,9.369
5,7.296422243118286,300,9.369
6,8.426363229751587,298,9.369
7,9.572433471679688,298,9.369
8,10.713352918624878,297,9.369
9,11.872531175613403,296,9.368
10,13.00548005104065,296,9.367
11,14.197513818740845,296,9.367
12,15.345407009124756,296,9.367
13,16.4893958568573,296,9.367
14,17.61841106414795,295,9.367
15,18.767486095428467,295,9.366
16,19.909335374832153,295,9.365
17,21.067358016967773,295,9.365
18,22.2014741897583,295,9.365
19,23.360479831695557,295,9.365
20,24.502219915390015,295,9.365
21,25.636258363723755,295,9.363
22,26.832313060760498,295,9.363
23,27.958287954330444,295,9.363
24,29.116437196731567,295,9.362
25,30.259304761886597,295,9.362
26,31.387331008911133,295,9.362
27,32.54829239845276,295,9.362
28,33.675437927246094,295,9.361
29,34.81942439079285,295,9.361
30,35.962451457977295,295,9.361
31,37.10941743850708,295,9.36
32,38.252403020858765,296,9.36
33,39.43432903289795,296,9.359
34,40.633299589157104,6,9.359
35,41.77129006385803,296,9.358
36,42.92238903045654,296,9.358
37,44.140390396118164,296,9.358
38,45.28728699684143,296,9.358
39,46.42926502227783,295,9.357
40,47.59423828125,295,9.357
41,48.75031304359436,295,9.357
42,49.88822793960571,295,9.356
43,51.04335904121399,296,9.355
44,52.17833662033081,95,9.355
45,53.40129542350769,295,9.355
46,54.549315452575684,295,9.355
47,55.67934203147888,295,9.354
48,56.82219219207764,295,9.353
49,57.963324308395386,296,9.353
50,59.12330651283264,295,9.353
51,60.253313302993774,295,9.353
52,61.41131925582886,295,9.352
53,62.53930187225342,295,9.352
54,63.70630121231079,295,9.351
55,64.8322217464447,295,9.351
56,65.98524069786072,295,9.351
57,67.13525748252869,5,9.351
58,68.28127479553223,295,9.351
59,69.42728352546692,295,9.35
60,70.56926727294922,295,9.35
61,71.71226477622986,295,9.349
62,72.85622572898865,5,9.349
63,74.01725244522095,295,9.349
64,75.14424920082092,296,9.349
65,76.28827404975891,295,9.348
66,77.42623567581177,295,9.347
67,78.6391863822937,295,9.347
68,79.78114199638367,5,9.347
69,80.9272198677063,295,9.346
70,82.06921100616455,295,9.346
71,83.22913384437561,295,9.346
72,84.35598015785217,295,9.346
73,85.50002646446228,295,9.345
74,86.64219498634338,295,9.345
75,87.7901623249054,296,9.344
76,88.93005561828613,295,9.344
77,90.08507657051086,295,9.344
78,91.22609639167786,4,9.344
79,92.3531448841095,295,9.344
80,93.49416136741638,295,9.343
81,94.64008808135986,95,9.343
82,95.76003837585449,295,9.342
83,96.90211081504822,295,9.342
84,98.04203987121582,295,9.342
85,99.18502616882324,295,9.341
86,100.33199715614319,295,9.34
87,101.47605729103088,295,9.34
88,102.63103246688843,295,9.34
89,103.76012873649597,296,9.34
90,104.90312361717224,295,9.339
91,106.01211261749268,295,9.339
92,107.24506521224976,295,9.338
93,108.39009594917297,296,9.338
94,109.53244948387146,296,9.338
95,110.66003966331482,295,9.338
96,111.8210825920105,295,9.337
97,112.96408152580261,296,9.336
98,114.09406399726868,295,9.336
99,115.24503970146179,296,9.336
100,116.4020619392395,295,9.336
101,117.53002071380615,296,9.336
102,118.68602705001831,296,9.335
103,119.83401918411255,295,9.335
104,121.00298285484314,295,9.335
105,122.13799858093262,296,9.335
106,123.28494381904602,296,9.334
107,124.43803381919861,296,9.334
108,125.56703209877014,296,9.334
109,126.72097039222717,296,9.333
110,127.85191893577576,296,9.332
111,129.03108668327332,296,9.332
112,130.25005912780762,295,9.332
113,131.3900179862976,296,9.332
114,132.52398300170898,296,9.332
115,133.6639904975891,296,9.331
