loop,time,pressure,mass
0,0.10024285316467285,235,2.586
1,1.234504222869873,236,2.586
2,2.3744988441467285,235,2.585
3,3.4984757900238037,236,2.584
4,4.615468978881836,236,2.584
5,5.7723388671875,236,2.584
6,6.896470546722412,235,2.584
7,8.033518552780151,237,2.583
8,9.172350645065308,235,2.583
9,10.323343753814697,234,2.582
10,11.448297262191772,236,2.582
11,12.585362672805786,234,2.582
12,13.723342180252075,234,2.581
13,14.903380632400513,235,2.581
14,16.042315006256104,234,2.58
15,17.16639471054077,234,2.58
16,18.3053195476532,234,2.579
17,19.514310359954834,233,2.579
18,20.64028000831604,235,2.579
19,21.79230499267578,234,2.578
20,22.92029857635498,235,2.578
21,24.070406913757324,236,2.577
22,25.208383321762085,233,2.577
23,26.401367664337158,234,2.577
24,27.553328275680542,235,2.576
25,28.67937684059143,234,2.576
26,29.80735445022583,234,2.575
27,30.977306842803955,235,2.575
28,32.114317655563354,233,2.575
29,33.24030303955078,234,2.574
30,34.38929986953735,233,2.574
31,35.51224899291992,232,2.574
33,37.64670920372009,233,2.573
34,38.831326723098755,233,2.572
35,39.99630689620972,233,2.572
36,41.172303199768066,233,2.572
37,42.3251953125,234,2.571
38,43.45427656173706,234,2.57
39,44.639307260513306,233,2.57
40,45.773273944854736,4,2.57
41,46.9112503528595,233,2.569
42,48.06129240989685,232,2.568
43,49.190258741378784,233,2.568
44,50.32797122001648,232,2.568
45,51.480252504348755,235,2.568
46,52.60222625732422,233,2.568
47,53.756380558013916,233,2.567
48,54.893351793289185,232,2.567
49,56.02136754989624,232,2.567
50,57.173340797424316,233,2.566
51,58.37836146354675,232,2.566
52,59.53837466239929,233,2.565
53,60.678356885910034,232,2.565
54,61.832377195358276,233,2.564
55,62.954349756240845,233,2.564
56,64.09018635749817,232,2.564
57,65.22733926773071,33,2.564
58,66.36928009986877,232,2.563
59,67.50936532020569,232,2.563
60,68.64733648300171,231,2.562
61,69.79928779602051,232,2.562
62,70.99022054672241,231,2.561
63,72.12727904319763,233,2.56
64,73.27125763893127,233,2.56
65,74.42223334312439,232,2.559
67,76.56072735786438,30,2.559
68,77.76221704483032,232,2.559
69,78.958172082901,232,2.558
70,80.14112830162048,230,2.558
71,81.26521897315979,232,2.558
72,82.40230965614319,231,2.557
73,83.59824013710022,231,2.557
74,84.79021787643433,230,2.556
75,85.92628192901611,230,2.555
76,87.06517720222473,231,2.555
77,88.21673440933228,230,2.555
78,89.35714268684387,230,2.555
79,90.54614567756653,231,2.554
80,91.73307299613953,231,2.554
81,92.86614727973938,232,2.554
82,94.01526808738708,231,2.554
83,95.13806748390198,230,2.553
84,96.30622577667236,232,2.552
85,97.4441168308258,230,2.552
86,98.56713676452637,231,2.552
87,99.70017337799072,231,2.551
88,100.8571949005127,232,2.55
89,101.99515080451965,229,2.55
90,103.21415996551514,231,2.549
91,104.38110327720642,230,2.549
92,105.5931830406189,230,2.549
93,106.73120760917664,229,2.549
94,107.87020707130432,230,2.548
95,109.01516270637512,231,2.548
96,110.20611810684204,230,2.548
97,111.35914516448975,230,2.547
98,112.48199439048767,230,2.546
99,113.65707492828369,229,2.546
100,114.85705304145813,230,2.546
101,115.99277758598328,229,2.546
102,117.11404418945312,229,2.545
103,118.25194001197815,229,2.545
104,119.4061827659607,230,2.544
105,120.53013110160828,229,2.544
106,121.6711196899414,230,2.544
107,122.80716228485107,230,2.544
108,123.93620491027832,228,2.543
109,125.0870771408081,228,2.543
110,126.21003890037537,229,2.542
111,127.34811854362488,228,2.541
112,128.5451385974884,229,2.541
113,129.75110840797424,229,2.541
114,130.88813042640686,228,2.541
117,134.02811121940613,28,2.539
118,135.16915321350098,229,2.539
119,136.2931182384491,225,2.538
120,137.44707489013672,229,2.538
121,138.56807255744934,229,2.538
122,139.70611953735352,229,2.537
123,140.87815308570862,229,2.537
124,142.04413151741028,229,2.536
125,143.1920506954193,229,2.535
126,144.36607265472412,229,2.535
127,145.51909375190735,229,2.535
128,146.65300250053406,228,2.535
129,147.84299087524414,230,2.534
130,148.97897028923035,229,2.534
131,150.14178252220154,228,2.533
132,151.2782588005066,8,2.533
133,152.40393996238708,227,2.533
134,153.54091477394104,228,2.533
135,154.69391870498657,228,2.532
136,155.81586289405823,227,2.532
137,156.96791124343872,228,2.531
138,158.10484719276428,227,2.531
139,159.25499558448792,228,2.531
140,160.3920464515686,227,2.53
141,161.56293058395386,226,2.529
142,162.68599843978882,228,2.529
143,163.84085035324097,227,2.529
144,164.9638500213623,228,2.529
145,166.10394024848938,228,2.529
146,167.2408173084259,227,2.528
147,168.39281010627747,227,2.527
148,169.53075122833252,226,2.527
149,170.66807746887207,226,2.526
150,171.8879988193512,228,2.526
151,173.02385139465332,227,2.525
152,174.1606628894806,227,2.525
153,175.2909860610962,227,2.525
154,176.40702438354492,227,2.525
155,177.54790353775024,227,2.525
156,178.6859998703003,227,2.524
157,179.8238935470581,227,2.523
158,180.97987604141235,226,2.523
159,182.12390184402466,227,2.523
160,183.26087737083435,226,2.522
161,184.3979206085205,226,2.521
162,185.57521080970764,226,2.521
163,186.7767939567566,226,2.521
164,187.92629027366638,225,2.52
165,189.0780050754547,227,2.52
166,190.19997310638428,224,2.52
167,191.35198616981506,224,2.519
168,192.489999294281,226,2.519
169,193.61492443084717,226,2.518
170,194.82296800613403,226,2.517
171,195.98296999931335,223,2.517
172,197.12179327011108,226,2.517
173,198.24395084381104,226,2.517
174,199.38394117355347,227,2.516
175,200.51098132133484,225,2.516
176,201.69693398475647,226,2.516
177,202.82993340492249,23,2.515
178,203.96895146369934,226,2.515
179,205.1179211139679,225,2.515
180,206.25691533088684,226,2.514
181,207.4519166946411,225,2.513
182,208.57304525375366,226,2.513
183,209.69489216804504,225,2.512
184,210.84483933448792,225,2.512
185,211.9658908843994,225,2.512
186,213.14986538887024,225,2.511
187,214.37099051475525,224,2.511
188,215.59188413619995,224,2.511
189,216.72884941101074,225,2.51
190,217.85285472869873,223,2.51
191,218.99876403808594,224,2.51
192,220.13477873802185,223,2.509
193,221.2668900489807,223,2.508
194,222.42976713180542,224,2.508
195,223.55281376838684,224,2.508
196,224.70481872558594,224,2.508
197,225.84181785583496,224,2.507
198,226.9667830467224,223,2.507
199,228.11971354484558,223,2.506
200,229.26595067977905,224,2.506
201,230.37977719306946,224,2.506
204,233.51870846748352,24,2.504
205,234.64763116836548,225,2.504
206,235.78672552108765,222,2.504
207,236.90057182312012,223,2.503
208,238.06072211265564,223,2.503
209,239.24835467338562,224,2.502
210,240.38682055473328,223,2.502
211,241.5908145904541,223,2.502
212,242.74268579483032,224,2.502
213,243.9136893749237,224,2.5
214,245.09169936180115,225,2.5
215,246.3118600845337,223,2.5
216,247.43583250045776,224,2.5
217,248.58576798439026,221,2.5
218,249.72459053993225,224,2.499
219,250.86062288284302,223,2.498
220,252.0326075553894,223,2.498
221,253.14676356315613,223,2.498
222,254.28361630439758,222,2.498
223,255.4337866306305,224,2.497
224,256.58276534080505,223,2.496
225,257.79380464553833,224,2.496
226,258.92874121665955,223,2.495
227,260.08367896080017,222,2.495
228,261.2206172943115,224,2.495
229,262.36068773269653,223,2.495
230,263.4838240146637,222,2.494
231,264.6237630844116,223,2.493
232,265.7557017803192,222,2.493
233,266.9106526374817,222,2.493
234,268.04671835899353,222,2.493
235,269.17267084121704,221,2.493
236,270.31067395210266,222,2.492
237,271.4487178325653,223,2.491
238,272.58474373817444,224,2.491
239,273.72493171691895,221,2.491
240,274.8627452850342,224,2.491
241,275.9887623786926,222,2.49
242,277.2007489204407,223,2.489
243,278.3536820411682,221,2.489
244,279.52472591400146,222,2.489
245,280.74474692344666,221,2.489
246,281.8706622123718,222,2.488
247,283.0095989704132,224,2.487
248,284.17713952064514,221,2.487
249,285.31665658950806,222,2.487
250,286.46843361854553,221,2.486
251,287.663605928421,222,2.486
252,288.82764983177185,221,2.485
253,289.9516270160675,221,2.485
254,291.10368394851685,221,2.484
255,292.24445843696594,221,2.484
256,293.36554193496704,221,2.484
257,294.5036027431488,220,2.484
258,295.6535789966583,221,2.484
259,296.79057908058167,220,2.483
260,297.91352558135986,221,2.483
261,299.0655119419098,220,2.482
262,300.1894826889038,220,2.482
263,301.33457493782043,220,2.481
264,302.4634757041931,220,2.481
265,303.61460852622986,219,2.481
266,304.75248312950134,220,2.481
267,305.89154529571533,219,2.48
268,307.0415108203888,220,2.48
269,308.1663341522217,220,2.478
270,309.3785548210144,219,2.478
271,310.5485520362854,219,2.478
272,311.6875355243683,221,2.478
273,312.82839131355286,220,2.478
274,313.9523334503174,219,2.477
275,315.08830285072327,221,2.477
276,316.2275230884552,221,2.476
277,317.3635427951813,20,2.476
278,318.51552629470825,220,2.475
279,319.64951610565186,220,2.475
280,320.790536403656,218,2.475
281,321.9115288257599,220,2.475
282,323.05048727989197,220,2.474
283,324.1844952106476,19,2.473
284,325.3363780975342,221,2.473
285,326.44547271728516,219,2.472
286,327.64951825141907,219,2.472
287,328.7803764343262,218,2.472
288,329.91751432418823,219,2.471
289,331.0384545326233,219,2.471
