loop,time,pressure
0,0.10319066047668457,370
1,2.493288278579712,368
2,3.5051562786102295,369
3,4.517596006393433,369
4,5.549538612365723,369
5,6.552101373672485,369
6,7.5700976848602295,370
7,8.586255073547363,370
8,9.60246229171753,369
9,10.618790626525879,369
10,11.634973287582397,369
11,12.66848874092102,369
12,13.695088863372803,370
13,14.708911895751953,369
14,15.716957330703735,371
15,16.733007669448853,367
16,17.751134634017944,367
17,18.77698850631714,368
18,19.794440746307373,367
19,20.801852464675903,368
20,21.819085359573364,368
21,22.83547878265381,369
22,23.86872935295105,370
23,24.902052402496338,369
24,25.93345880508423,369
25,26.953815698623657,367
26,27.969410181045532,368
27,28.985657691955566,367
28,30.020310878753662,365
29,31.037405252456665,365
30,32.05028510093689,365
31,33.08294486999512,364
32,34.101208448410034,365
33,35.11672759056091,363
34,36.13365840911865,364
35,37.151830196380615,363
36,38.16867160797119,361
37,39.20370078086853,363
38,40.21871829032898,360
39,41.24597764015198,361
40,42.26899003982544,359
41,43.28575038909912,359
42,44.31816649436951,360
43,45.352450132369995,359
44,46.37518358230591,359
45,47.400551080703735,358
46,48.41761660575867,357
47,49.43684959411621,358
48,50.45263648033142,358
49,51.46877074241638,357
50,52.48386836051941,356
51,53.50271391868591,357
52,54.52043628692627,356
53,55.57023024559021,355
54,56.6527955532074,356
55,57.67948818206787,354
56,58.70253825187683,355
57,59.71924328804016,355
58,60.75311732292175,354
59,61.78448963165283,354
60,62.8056116104126,368
61,63.82280683517456,353
62,64.85069918632507,328
63,65.86818981170654,392
64,66.87676739692688,338
65,67.89168286323547,334
66,68.9183292388916,357
67,69.93543887138367,352
68,70.9543604850769,353
69,71.9708366394043,353
70,72.99086117744446,352
71,74.00242614746094,353
72,75.01910161972046,351
73,76.05411720275879,352
74,77.06934905052185,352
75,78.08620095252991,353
77,80.10021710395813,353
79,82.1302661895752,353
80,83.13861417770386,352
81,84.15275859832764,352
82,85.18586277961731,353
83,86.20299768447876,355
84,87.23615002632141,354
85,88.26942563056946,353
86,89.28432083129883,353
87,90.28649830818176,354
88,91.31924152374268,352
89,92.3525390625,53
90,93.36902666091919,353
91,94.39207768440247,353
92,95.43258166313171,353
93,96.4538221359253,353
94,97.4672179222107,354
95,98.49075818061829,354
96,99.49749088287354,353
97,100.50223898887634,353
98,101.5201518535614,353
99,102.53594470024109,353
100,103.56763362884521,352
101,104.60278415679932,354
102,105.63615417480469,353
103,106.67073392868042,354
104,107.68630480766296,353
105,108.70410442352295,353
106,109.71884036064148,355
107,110.73484969139099,352
108,111.75385165214539,353
109,112.78353309631348,353
110,113.80262684822083,352
111,114.81595635414124,353
112,115.82574009895325,353
113,116.83650350570679,354
114,117.8524661064148,353
115,118.88619780540466,352
116,119.90226769447327,352
117,120.9199104309082,354
118,121.9535562992096,352
119,122.9697048664093,352
120,124.0024266242981,352
121,125.01951766014099,352
122,126.03383326530457,352
123,127.04987812042236,52
124,128.07717871665955,351
125,129.10002779960632,352
126,130.10467958450317,352
127,131.11886882781982,352
128,132.13324189186096,352
129,133.13658714294434,351
130,134.16947555541992,353
131,135.20329117774963,351
132,136.22084522247314,352
133,137.2375099658966,351
134,138.26960015296936,352
135,139.2861180305481,351
136,140.31967759132385,352
137,141.34827375411987,352
138,142.36869978904724,351
139,143.38047289848328,351
140,144.38457894325256,349
141,145.40095949172974,350
142,146.41519355773926,350
143,147.42892694473267,350
144,148.43759107589722,350
145,149.45272874832153,351
146,150.4865837097168,351
147,151.5195231437683,350
148,152.54555487632751,350
149,153.56955575942993,351
150,154.603533744812,352
151,155.63508701324463,351
152,156.65263557434082,349
153,157.68586897850037,350
154,158.70649814605713,351
155,159.73126769065857,349
156,160.75037360191345,351
157,161.7775480747223,350
158,162.7842128276825,349
159,163.8003945350647,350
160,164.81807017326355,349
161,165.84883546829224,349
162,166.88573455810547,349
163,167.91950464248657,349
164,168.93617701530457,349
165,169.95303058624268,348
166,170.98792934417725,50
167,172.01902961730957,349
168,173.05229687690735,348
169,174.06968545913696,350
170,175.08516764640808,349
171,176.10212230682373,349
172,177.1169981956482,349
173,178.1362588405609,349
174,179.1481533050537,347
175,180.16605710983276,348
176,181.17871713638306,349
177,182.20337438583374,349
178,183.2357313632965,348
179,184.25313305854797,347
180,185.2848036289215,348
181,186.3195219039917,347
182,187.33626246452332,348
183,188.37007331848145,348
184,189.38684844970703,348
185,190.4091420173645,347
186,191.4503333568573,346
187,192.46738529205322,347
188,193.49260258674622,348
189,194.49848175048828,347
190,195.51403141021729,347
191,196.51957821846008,347
192,197.53789734840393,348
194,199.57020735740662,349
195,200.58790111541748,347
196,201.60307431221008,347
197,202.61991953849792,347
198,203.63624835014343,345
199,204.6694724559784,345
200,205.703373670578,347
201,206.7210557460785,346
202,207.7443025112152,346
203,208.76813673973083,347
204,209.7846279144287,346
205,210.81214833259583,346
206,211.83103489875793,346
207,212.83602952957153,345
208,213.87037563323975,346
209,214.88778281211853,346
210,215.9025993347168,45
211,216.91979575157166,346
212,217.93647623062134,345
213,218.95192742347717,346
214,219.96986889839172,345
215,220.98464512825012,347
216,222.00173115730286,345
217,223.0178780555725,346
218,224.04706525802612,344
219,225.06757473945618,346
220,226.0863552093506,345
221,227.10619258880615,343
222,228.11492252349854,345
223,229.13666415214539,345
224,230.15473866462708,344
225,231.17045497894287,345
226,232.18613076210022,345
227,233.21955609321594,345
228,234.23697471618652,344
229,235.25286412239075,344
230,236.268981218338,344
231,237.28652715682983,345
232,238.30294561386108,345
233,239.3187553882599,344
234,240.34429693222046,344
235,241.358149766922,344
236,242.3727650642395,343
237,243.39141726493835,42
238,244.41976475715637,344
239,245.4365940093994,343
240,246.46918416023254,343
241,247.48647093772888,343
242,248.5213189125061,343
243,249.54690504074097,343
244,250.57144045829773,344
245,251.5856704711914,342
246,252.61922526359558,343
247,253.63681650161743,343
248,254.65578293800354,343
249,255.67722177505493,343
250,256.70103931427,343
251,257.71914410591125,343
252,258.73899102211,343
253,259.7607452869415,343
254,260.7696166038513,343
255,261.78701400756836,343
256,262.8048152923584,342
257,263.8198208808899,342
258,264.8392405509949,342
260,266.90383529663086,342
261,267.91952109336853,342
262,268.95360803604126,341
263,269.9865972995758,342
264,270.99933075904846,342
265,272.01742458343506,342
266,273.03419375419617,341
267,274.0522880554199,341
268,275.0698869228363,341
269,276.1029124259949,341
270,277.1204421520233,341
271,278.1373381614685,341
272,279.1522750854492,341
273,280.1700143814087,341
274,281.2039279937744,342
275,282.22325015068054,342
276,283.2533161640167,341
277,284.2869670391083,341
278,285.3038594722748,341
279,286.3210563659668,340
280,287.33423376083374,340
281,288.3554799556732,341
282,289.3696126937866,340
283,290.39209175109863,340
284,291.4037652015686,340
285,292.41970920562744,341
286,293.45253467559814,0
287,294.4871914386749,339
288,295.50293159484863,341
289,296.53673028945923,340
290,297.57035970687866,340
291,298.58711433410645,340
292,299.60378241539,339
293,300.6204595565796,340
294,301.6366744041443,340
295,302.6582610607147,339
296,303.684490442276,341
297,304.7177007198334,339
298,305.7366964817047,339
299,306.7579836845398,340
300,307.76481795310974,341
301,308.78846740722656,339
302,309.80377173423767,339
303,310.8218665122986,339
304,311.8375015258789,339
305,312.8592710494995,339
306,313.87137746810913,338
307,314.8865373134613,339
308,315.90425276756287,339
309,316.9402320384979,338
310,317.9537169933319,337
311,318.9837341308594,338
312,319.9882781505585,338
313,321.0170695781708,339
314,322.0240681171417,339
315,323.0399556159973,338
316,324.0487539768219,337
317,325.06921100616455,337
318,326.08936381340027,338
319,327.1032192707062,337
320,328.1201469898224,338
321,329.13720512390137,337
322,330.15339255332947,337
323,331.1887557506561,339
324,332.2181715965271,337
325,333.23717212677,337
326,334.2539293766022,336
327,335.26958441734314,337
328,336.28468775749207,336
329,337.31807231903076,337
330,338.3318192958832,336
331,339.3499264717102,337
332,340.36846899986267,337
333,341.3878402709961,338
334,342.40419340133667,337
335,343.43739461898804,337
336,344.4538023471832,337
337,345.48032665252686,336
338,346.48788571357727,336
339,347.52171993255615,336
340,348.55411171913147,336
341,349.57196617126465,337
342,350.5894958972931,336
343,351.6005096435547,336
344,352.6339328289032,336
345,353.6396985054016,336
346,354.65983033180237,335
347,355.6722092628479,335
348,356.6866629123688,335
349,357.7199959754944,335
350,358.75339674949646,337
351,359.7805161476135,335
352,360.7871608734131,336
353,361.8043065071106,335
354,362.8378825187683,336
355,363.85982275009155,335
356,364.8775019645691,335
357,365.8876075744629,335
358,366.90239214897156,335
359,367.92820858955383,335
360,368.9420771598816,334
361,369.95161271095276,335
362,370.96921968460083,336
363,371.98875856399536,335
364,373.00561928749084,336
365,374.0190968513489,334
366,375.0530390739441,335
367,376.07112646102905,334
368,377.10450649261475,335
369,378.1206638813019,334
370,379.1533167362213,334
371,380.1875813007355,333
372,381.2054109573364,334
373,382.22143054008484,334
374,383.24164605140686,335
375,384.2704908847809,333
376,385.30057287216187,333
377,386.31163024902344,334
