loop,time,pressure,mass
0,0.10024261474609375,98,9.542
1,1.278559684753418,698,9.542
2,2.4055726528167725,697,9.542
3,3.553522825241089,696,9.542
4,4.710529804229736,697,9.541
5,5.8295087814331055,697,9.541
6,7.028581142425537,695,9.54
7,8.171547174453735,696,9.54
8,9.314533710479736,696,9.54
9,10.455485343933105,697,9.539
10,11.625511169433594,697,9.539
11,12.770476818084717,696,9.539
12,13.918471813201904,696,9.539
13,15.072482824325562,695,9.539
14,16.22249698638916,697,9.538
15,17.43650460243225,696,9.538
16,18.578494548797607,695,9.538
17,19.707371711730957,697,9.537
18,20.85632610321045,696,9.537
19,21.998484134674072,697,9.537
20,23.158518314361572,696,9.537
21,24.286463260650635,697,9.536
22,25.43445920944214,697,9.536
23,26.595447778701782,694,9.536
24,27.74138903617859,696,9.536
25,28.88341784477234,697,9.536
26,30.027440309524536,697,9.535
27,31.154467344284058,697,9.535
28,32.31541609764099,694,9.535
29,33.44641828536987,696,9.535
30,34.59142017364502,698,9.535
31,35.734272956848145,696,9.535
32,36.89832329750061,695,9.535
33,38.04033303260803,696,9.534
34,39.17129158973694,697,9.534
35,40.31438732147217,695,9.533
36,41.45742750167847,697,9.533
37,42.60035228729248,695,9.533
38,43.74421548843384,697,9.533
39,44.902233362197876,697,9.533
40,46.034212827682495,698,9.532
41,47.1763813495636,96,9.532
42,48.33117341995239,698,9.532
43,49.45821952819824,697,9.531
44,50.60433292388916,697,9.531
45,51.74716019630432,695,9.531
46,52.89219093322754,695,9.531
47,54.05030679702759,696,9.53
48,55.16333222389221,694,9.53
49,56.38129281997681,696,9.529
50,57.526206970214844,695,9.529
51,58.673197984695435,695,9.529
52,59.81520891189575,695,9.529
53,60.979177474975586,695,9.529
54,62.107181787490845,696,9.529
55,63.25310754776001,696,9.529
56,64.40927815437317,697,9.529
57,65.54226732254028,696,9.528
58,66.68427348136902,697,9.528
59,67.82815790176392,696,9.527
60,68.9842176437378,697,9.527
61,70.12480688095093,695,9.527
62,71.2692186832428,96,9.527
63,72.41723847389221,695,9.526
64,73.57323741912842,696,9.526
65,74.76323246955872,698,9.526
66,75.92622518539429,697,9.526
67,77.07024812698364,696,9.526
68,78.19913244247437,697,9.525
69,79.34221410751343,696,9.525
70,80.48406982421875,696,9.525
71,81.63311910629272,697,9.524
72,82.82319140434265,695,9.524
73,83.96520566940308,696,9.524
74,85.10619258880615,696,9.524
75,86.24807906150818,697,9.523
76,87.39308762550354,697,9.523
77,88.55106353759766,695,9.523
78,89.69405317306519,695,9.523
79,90.83712434768677,697,9.523
80,91.97109937667847,697,9.522
81,93.11311745643616,696,9.522
83,95.25758218765259,695,9.522
84,96.47713279724121,696,9.521
85,97.62011384963989,695,9.521
86,98.76112747192383,695,9.521
87,99.90911626815796,696,9.521
88,101.0511155128479,696,9.521
89,102.19509935379028,696,9.521
90,103.33803057670593,695,9.521
92,105.4995539188385,696,9.521
94,107.70761799812317,694,9.521
95,108.82803630828857,696,9.521
96,109.9710955619812,695,9.52
97,111.14506602287292,695,9.519
98,112.36202907562256,698,9.519
99,113.49602818489075,696,9.519
100,114.65291333198547,695,9.519
101,115.78291344642639,696,9.519
102,116.9249005317688,694,9.519
103,118.08503794670105,695,9.519
104,119.2288269996643,695,9.518
105,120.36797618865967,695,9.518
106,121.52298474311829,694,9.518
107,122.66599011421204,696,9.518
108,123.79184484481812,697,9.518
109,124.9330484867096,696,9.518
110,126.07488584518433,697,9.517
111,127.2419056892395,695,9.517
112,128.36999034881592,694,9.517
113,129.5169267654419,697,9.517
114,130.66191124916077,696,9.517
115,131.80393314361572,697,9.517
116,132.94681906700134,694,9.517
117,134.10591793060303,95,9.516
118,135.24796843528748,696,9.516
119,136.3753261566162,697,9.516
120,137.51794719696045,694,9.516
121,138.67182111740112,697,9.515
122,139.87083220481873,693,9.515
123,141.0637993812561,696,9.515
124,142.2208709716797,696,9.515
125,143.34893345832825,693,9.514
126,144.49191117286682,697,9.514
127,145.644926071167,694,9.514
128,146.79190969467163,695,9.514
129,147.91691327095032,695,9.513
130,149.0589439868927,695,9.513
131,150.1988251209259,694,9.513
132,151.34189200401306,695,9.513
133,152.48190999031067,696,9.513
134,153.62885975837708,696,9.513
135,154.78385472297668,695,9.512
136,155.92686915397644,695,9.512
137,157.0678412914276,695,9.512
138,158.2078573703766,695,9.512
139,159.33787727355957,695,9.512
140,160.49485516548157,695,9.512
141,161.6199152469635,695,9.512
142,162.7618052959442,693,9.511
143,163.90185475349426,695,9.511
144,165.04583048820496,695,9.511
145,166.20277976989746,695,9.51
146,167.34666347503662,693,9.51
147,168.47280764579773,694,9.51
148,169.61376094818115,694,9.51
149,170.75374293327332,695,9.51
150,171.89475393295288,695,9.509
151,173.03180122375488,694,9.509
152,174.1937928199768,694,9.509
153,175.3207929134369,695,9.509
154,176.476660490036,694,9.509
155,177.60568737983704,695,9.509
156,178.75164008140564,695,9.508
157,179.89377307891846,693,9.508
158,181.03771686553955,694,9.508
