T,M
1745331492.417158,7.991000
1745331522.554103,7.945000
1745331552.713986,7.903000
1745331582.867806,7.860000
1745331612.995734,7.814000
1745331643.153616,7.772000
1745331673.293482,7.724000
1745331703.459362,7.683000
1745331733.605245,7.637000
1745331763.782154,7.593000
1745331793.926032,7.548000
1745331824.069917,7.506000
1745331854.244797,7.461000
1745331884.480687,7.416000
1745331914.650528,7.372000
1745331944.838459,7.329000
1745331975.020280,7.284000
1745332005.254212,7.238000
1745332035.426130,7.192000
1745332065.573068,7.151000
1745332095.739975,7.106000
1745332125.878877,7.062000
1745332156.043782,7.018000
1745332186.183684,6.973000
1745332216.340589,6.930000
1745332246.555506,6.884000
1745332276.735386,6.840000
1745332306.890255,6.797000
1745332337.055144,6.753000
1745332367.195080,6.709000
1745332397.372980,6.666000
1745332427.512887,6.622000
1745332457.651771,6.579000
1745332487.804671,6.536000
1745332517.968563,6.493000
1745332548.111457,6.450000
1745332578.275351,6.407000
1745332608.417239,6.365000
1745332638.578164,6.318000
1745332668.722031,6.280000
1745332698.887925,6.237000
1745332729.026776,6.195000
1745332759.184668,6.150000
1745332789.343565,6.111000
1745332819.504516,6.066000
1745332849.637451,6.020000
1745332879.820238,5.989000
1745332909.956176,5.969000
1745332940.087062,5.958000
1745332970.259948,5.921000
1745333000.492845,5.888000
1745333030.666729,5.854000
1745333060.825718,5.752000
1745333090.964514,5.482000
1745333121.116359,5.043000
1745333151.267293,4.601000
1745333181.421201,4.182000
