loop,time,pressure,mass
0,0.10031986236572266,400,4.671
1,1.2366814613342285,399,4.67
2,2.4517199993133545,399,4.67
3,3.6486172676086426,400,4.669
4,4.771576881408691,392,4.669
5,5.944622039794922,400,4.668
6,7.133549690246582,399,4.668
7,8.24854850769043,400,4.667
8,9.363547086715698,403,4.667
9,10.50153660774231,399,4.666
10,11.646580696105957,400,4.665
11,12.771596431732178,399,4.665
12,13.902563571929932,397,4.664
13,15.046470880508423,400,4.664
14,16.197436809539795,397,4.664
15,17.312369108200073,403,4.663
16,18.46039128303528,400,4.662
17,19.574438095092773,397,4.662
18,20.745516777038574,400,4.661
19,21.874313592910767,398,4.661
20,23.032334089279175,399,4.661
21,24.170523405075073,397,4.661
22,25.292510271072388,397,4.66
23,26.426453590393066,398,4.659
24,27.598507165908813,397,4.659
25,28.735512018203735,398,4.658
26,29.881531238555908,398,4.658
27,31.009528875350952,398,4.657
28,32.14750003814697,396,4.657
29,33.297483682632446,396,4.656
30,34.421369552612305,399,4.656
31,35.55739450454712,398,4.655
32,36.695332527160645,398,4.655
35,39.83318281173706,397,4.653
36,41.04429030418396,394,4.652
37,42.191309690475464,396,4.652
38,43.40726161003113,397,4.652
39,44.54139041900635,395,4.651
40,45.67826747894287,396,4.651
41,46.813395977020264,398,4.651
42,47.950217485427856,396,4.65
43,49.08425450325012,395,4.65
44,50.235188245773315,396,4.649
45,51.38226270675659,97,4.648
46,52.55422401428223,391,4.648
47,53.73320269584656,396,4.647
48,54.8702917098999,395,4.647
49,56.01326942443848,394,4.647
50,57.171244382858276,397,4.646
51,58.305267095565796,395,4.645
52,59.428343057632446,396,4.645
53,60.5752375125885,394,4.644
54,61.71233582496643,395,4.644
55,62.8373441696167,391,4.643
56,63.97330856323242,394,4.643
57,65.16029334068298,394,4.643
58,66.29032039642334,393,4.642
59,67.49630975723267,395,4.641
60,68.6332516670227,395,4.64
61,69.83015370368958,395,4.64
62,70.96215844154358,394,4.64
63,72.10913753509521,394,4.639
64,73.26714062690735,395,4.639
65,74.47213578224182,394,4.639
66,75.60613179206848,394,4.638
67,76.72916793823242,394,4.637
68,77.87814569473267,394,4.637
69,79.07512259483337,394,4.637
70,80.21124386787415,393,4.636
71,81.34921646118164,401,4.635
72,82.52516722679138,395,4.635
73,83.69618725776672,395,4.634
74,84.84719443321228,395,4.634
75,85.98607206344604,393,4.633
76,87.2030942440033,393,4.633
77,88.34208512306213,391,4.632
78,89.48022246360779,394,4.631
79,90.69019985198975,392,4.631
80,91.82919549942017,396,4.631
81,92.96312713623047,395,4.631
82,94.1131522655487,393,4.63
83,95.26505398750305,393,4.629
84,96.44907402992249,386,4.629
85,97.60004925727844,393,4.629
86,98.78706097602844,393,4.628
87,99.9221761226654,393,4.627
88,101.06413316726685,392,4.626
89,102.23115587234497,398,4.626
90,103.3601553440094,393,4.626
91,104.50716066360474,383,4.625
92,105.64415550231934,391,4.625
93,106.76713180541992,393,4.624
94,107.90311455726624,392,4.624
95,109.07008862495422,391,4.623
96,110.21908068656921,394,4.623
97,111.34108328819275,393,4.623
98,112.4941189289093,392,4.622
99,113.65909910202026,391,4.621
100,114.86409378051758,389,4.621
101,116.00004863739014,394,4.621
102,117.18004965782166,391,4.62
103,118.30508422851562,391,4.62
104,119.48241972923279,391,4.619
105,120.61803126335144,390,4.619
106,121.75607347488403,391,4.619
107,122.894033908844,391,4.618
108,124.01401376724243,391,4.617
109,125.13206052780151,390,4.617
110,126.26905298233032,392,4.616
111,127.42902636528015,391,4.616
112,128.5449995994568,391,4.615
113,129.69792413711548,392,4.615
114,130.84601616859436,392,4.614
115,131.9810345172882,390,4.614
116,133.09598112106323,391,4.613
117,134.23406314849854,395,4.613
118,135.4100263118744,390,4.612
120,137.5296003818512,389,4.612
121,138.74197101593018,391,4.612
122,139.86398696899414,391,4.611
123,141.0120084285736,388,4.61
124,142.19898176193237,390,4.61
125,143.37093043327332,391,4.61
126,144.49291443824768,391,4.609
127,145.65892815589905,389,4.609
128,146.7969627380371,390,4.608
129,147.93092608451843,390,4.608
130,149.06389594078064,391,4.607
131,150.1818926334381,389,4.606
132,151.3128719329834,391,4.606
133,152.46193742752075,390,4.606
134,153.58393049240112,388,4.605
135,154.73386073112488,383,4.605
136,155.85891008377075,390,4.604
137,156.9929337501526,389,4.604
138,158.14292669296265,390,4.604
139,159.2628951072693,389,4.603
140,160.4098973274231,389,4.602
141,161.5429081916809,390,4.602
142,162.6798369884491,389,4.601
143,163.85600066184998,389,4.601
144,165.0528907775879,389,4.6
145,166.21379733085632,388,4.6
146,167.34885144233704,389,4.6
147,168.48484706878662,389,4.599
148,169.62085556983948,389,4.599
149,170.75984859466553,391,4.598
150,171.87984585762024,390,4.598
151,173.01669239997864,390,4.597
152,174.16981410980225,388,4.597
153,175.35482907295227,389,4.596
154,176.5258231163025,387,4.595
155,177.64968919754028,388,4.595
156,178.7866714000702,386,4.595
157,179.93765926361084,388,4.595
158,181.06158256530762,387,4.594
159,182.19568181037903,390,4.594
160,183.32864809036255,389,4.593
161,184.49068880081177,385,4.593
162,185.69261741638184,390,4.592
163,186.8596682548523,389,4.592
164,187.9996509552002,389,4.592
165,189.13765168190002,388,4.591
166,190.27357625961304,387,4.59
167,191.4105293750763,388,4.589
168,192.59962940216064,387,4.589
169,193.7377426624298,387,4.589
170,194.886705160141,385,4.588
171,196.02559208869934,387,4.588
172,197.14761662483215,388,4.587
173,198.29161024093628,386,4.587
174,199.45859837532043,387,4.587
175,200.61159896850586,386,4.586
176,201.73258328437805,388,4.585
177,202.91353511810303,386,4.584
178,204.06860494613647,386,4.584
179,205.21871852874756,387,4.584
180,206.4196753501892,388,4.583
181,207.53966450691223,388,4.583
182,208.677738904953,387,4.582
183,209.82565116882324,379,4.582
184,210.962655544281,386,4.581
185,212.09665322303772,385,4.581
186,213.28955459594727,391,4.581
187,214.48566937446594,385,4.581
188,215.61155247688293,386,4.58
189,216.8005142211914,385,4.579
190,217.92452430725098,385,4.579
191,219.13246488571167,386,4.578
192,220.34350728988647,386,4.578
193,221.46163940429688,389,4.577
194,222.60547637939453,387,4.577
195,223.75545620918274,386,4.577
196,224.88545513153076,386,4.576
197,226.07343459129333,383,4.575
198,227.20644283294678,386,4.575
199,228.3424310684204,385,4.575
200,229.50048851966858,378,4.574
201,230.68645668029785,385,4.573
202,231.8654704093933,386,4.573
203,233.05244326591492,387,4.573
204,234.2655646800995,385,4.572
205,235.39636516571045,384,4.572
206,236.5583689212799,384,4.571
207,237.67354369163513,377,4.571
208,238.82242894172668,385,4.571
209,239.95939016342163,385,4.57
210,241.09839034080505,384,4.569
211,242.23540711402893,385,4.569
212,243.38842964172363,383,4.568
213,244.60537981987,383,4.568
214,245.75438976287842,384,4.567
215,246.89743041992188,383,4.567
216,248.05242919921875,382,4.566
217,249.20143842697144,383,4.566
218,250.3243579864502,384,4.566
219,251.46629762649536,382,4.565
220,252.61247420310974,384,4.565
221,253.7444508075714,382,4.565
222,254.87943291664124,385,4.564
223,256.0284194946289,384,4.563
224,257.16242003440857,384,4.562
225,258.318395614624,385,4.562
226,259.50650215148926,384,4.561
227,260.6283986568451,373,4.561
228,261.8563997745514,382,4.56
229,262.97234058380127,383,4.56
230,264.10832142829895,382,4.56
233,267.25413632392883,384,4.559
234,268.422297000885,383,4.558
235,269.5582981109619,384,4.557
236,270.68241477012634,386,4.557
237,271.8873505592346,384,4.557
238,273.02331376075745,382,4.556
239,274.203382730484,382,4.555
241,276.3929228782654,385,4.555
