loop,time,pressure,mass
0,0.10026144981384277,383,4.564
1,2.697408676147461,384,4.564
2,3.830435276031494,383,4.564
3,4.965404510498047,384,4.564
4,6.100532054901123,385,4.564
5,7.233422517776489,384,4.564
6,8.366379976272583,384,4.564
7,9.498400211334229,384,4.564
8,10.632594347000122,384,4.564
9,11.767474889755249,384,4.564
10,12.906527042388916,384,4.564
11,14.057511329650879,383,4.564
12,15.17631983757019,383,4.564
13,16.326393365859985,384,4.564
14,17.48933506011963,383,4.565
15,18.646364450454712,383,4.565
16,19.802451610565186,383,4.565
17,20.94638156890869,383,4.565
18,22.09544014930725,3,4.565
19,23.2333767414093,384,4.565
20,24.37036156654358,384,4.565
21,25.50736904144287,384,4.564
22,26.629353761672974,383,4.564
23,27.80049443244934,383,4.565
24,28.975475072860718,382,4.565
25,30.14445662498474,383,4.559
26,31.313457489013672,383,4.563
27,32.45244264602661,384,4.567
28,33.59543514251709,384,4.568
29,34.77842879295349,382,4.568
30,35.9943528175354,384,4.565
31,37.19533658027649,383,4.562
32,38.33336281776428,384,4.561
33,39.47137904167175,383,4.56
34,40.66132473945618,386,4.56
35,41.79538369178772,380,4.56
36,42.945392370224,381,4.559
37,44.131377935409546,380,4.556
38,45.26937818527222,379,4.554
39,46.40636444091797,382,4.553
40,47.53037118911743,380,4.552
41,48.669342041015625,383,4.552
42,49.841346979141235,379,4.551
43,51.02427101135254,382,4.551
44,52.160221576690674,381,4.55
45,53.3193142414093,378,4.549
46,54.47633099555969,380,4.549
47,55.60128736495972,380,4.546
48,56.78031849861145,377,4.545
49,57.965274810791016,379,4.545
50,59.100281953811646,380,4.544
51,60.24426555633545,378,4.544
52,61.375274419784546,377,4.543
53,62.51631951332092,380,4.543
54,63.65025210380554,383,4.542
55,64.83828926086426,378,4.54
56,66.05123591423035,381,4.538
57,67.23030805587769,380,4.538
58,68.43027019500732,385,4.536
59,69.6342306137085,377,4.537
60,70.8232216835022,378,4.537
61,71.95824551582336,381,4.537
62,73.1102225780487,378,4.536
63,74.22916531562805,379,4.535
64,75.42120957374573,380,4.534
65,76.54530358314514,380,4.534
66,77.68322372436523,379,4.533
67,78.82120776176453,379,4.532
68,79.95921444892883,380,4.531
69,81.1101655960083,379,4.53
70,82.24821543693542,382,4.53
71,83.38915634155273,379,4.529
72,84.51020288467407,377,4.529
73,85.62418127059937,377,4.527
74,86.78613018989563,373,4.525
75,87.954181432724,379,4.526
76,89.09110903739929,377,4.525
77,90.22508788108826,377,4.524
78,91.35313320159912,380,4.523
79,92.4761643409729,379,4.523
80,93.6631486415863,377,4.522
81,94.79756999015808,379,4.521
83,96.99764728546143,376,4.519
84,98.200119972229,376,4.519
85,99.34814047813416,372,4.519
86,100.47413301467896,375,4.518
87,101.67307353019714,378,4.517
89,103.82462430000305,377,4.516
90,104.9810676574707,378,4.515
91,106.13006949424744,376,4.513
92,107.30311894416809,376,4.512
93,108.4450786113739,380,4.512
94,109.57707285881042,375,4.511
95,110.78413081169128,375,4.511
96,111.93205189704895,372,4.511
97,113.07705044746399,373,4.508
98,114.26902723312378,375,4.508
99,115.44606065750122,376,4.508
100,116.64103364944458,372,4.507
101,117.79705214500427,374,4.507
