loop,time,pressure
0,0.10182952880859375,245
3,4.4770588874816895,44
4,5.480003833770752,5
5,6.4822282791137695,4
6,7.484142303466797,242
7,8.48691177368164,243
8,9.489019632339478,244
9,10.491995334625244,241
10,11.494809627532959,44
11,12.496670484542847,241
12,13.499049663543701,240
13,14.501541376113892,243
14,15.504913091659546,241
15,16.507854223251343,243
16,17.51069927215576,242
17,18.512696504592896,240
18,19.515501499176025,242
19,20.517929553985596,240
20,21.52048897743225,240
21,22.524029970169067,240
22,23.526732683181763,238
23,24.52958655357361,240
24,25.533031702041626,238
25,26.535544395446777,238
26,27.538452863693237,238
27,28.541439294815063,238
28,29.545074224472046,238
29,30.54785966873169,237
30,31.551193952560425,238
31,32.5530948638916,239
32,33.55564045906067,238
33,34.55766010284424,237
34,35.56030869483948,235
35,36.56352424621582,237
36,37.56650424003601,236
37,38.56865954399109,235
38,39.57340383529663,236
39,40.575454235076904,236
40,41.57897734642029,238
41,42.58291006088257,236
42,43.58594584465027,235
43,44.58865308761597,235
44,45.591949701309204,234
45,46.59379553794861,234
46,47.596396923065186,236
47,48.602187633514404,234
48,49.60562443733215,236
49,50.609182834625244,234
50,51.612794637680054,5
51,52.61455035209656,234
52,53.61654758453369,236
53,54.61914324760437,234
54,55.62237095832825,234
55,56.625263929367065,233
56,57.62708115577698,235
57,58.63004755973816,233
58,59.633495807647705,235
59,60.636298179626465,233
60,61.63894438743591,234
61,62.64208984375,232
62,63.64446687698364,234
63,64.64721727371216,234
64,65.6494493484497,234
65,66.65248942375183,233
66,67.65411281585693,234
67,68.65799736976624,233
68,69.66088271141052,234
69,70.66338229179382,232
70,71.6654601097107,233
71,72.66761827468872,232
72,73.67014074325562,234
73,74.67307424545288,231
74,75.67485761642456,233
75,76.67915654182434,233
76,77.68182063102722,233
77,78.68455171585083,231
78,79.68770337104797,233
79,80.68983912467957,232
80,81.69384598731995,232
81,82.69619870185852,231
82,83.69879579544067,231
83,84.70193529129028,232
84,85.70512437820435,231
85,86.70774126052856,231
86,87.71011066436768,232
87,88.71267676353455,232
88,89.71525406837463,231
89,90.71695375442505,232
90,91.71987390518188,231
91,92.72209692001343,231
92,93.72445106506348,232
93,94.72703337669373,232
94,95.73022484779358,232
95,96.73277425765991,231
96,97.73782539367676,230
97,98.74068856239319,231
98,99.74404168128967,231
99,100.74714159965515,231
100,101.75051021575928,231
101,102.75389742851257,230
102,103.75645470619202,229
103,104.75957012176514,232
104,105.76167917251587,229
105,106.76400828361511,230
106,107.76725363731384,228
107,108.77018618583679,231
108,109.77390170097351,230
109,110.77726078033447,230
110,111.7797360420227,231
111,112.78241801261902,230
112,113.78428173065186,231
113,114.78641390800476,228
114,115.78834271430969,230
115,116.7911148071289,230
116,117.7934262752533,230
117,118.79697465896606,231
118,119.79895997047424,230
119,120.80208992958069,231
120,121.804607629776,229
121,122.81551051139832,229
122,123.81880378723145,228
123,124.82180380821228,229
124,125.82428669929504,228
125,126.82699990272522,230
126,127.82980871200562,229
127,128.83258605003357,230
128,129.83544087409973,230
129,130.83778381347656,229
130,131.8398768901825,229
131,132.84193515777588,230
132,133.8449809551239,228
133,134.84718441963196,229
134,135.84880661964417,230
135,136.85158920288086,228
