loop,time,pressure,mass
0,0.10027670860290527,231,2.551
1,1.293379306793213,231,2.55
2,2.4335203170776367,230,2.549
3,3.555656909942627,231,2.548
4,4.731604814529419,230,2.547
5,5.867649555206299,231,2.547
6,7.008573055267334,0,2.546
7,8.199572324752808,230,2.545
8,9.383588790893555,231,2.544
9,10.570591926574707,228,2.544
10,11.707599639892578,229,2.543
11,12.846568822860718,230,2.542
12,13.962575912475586,232,2.542
14,16.137047052383423,230,2.54
15,17.34152579307556,230,2.539
16,18.548551559448242,230,2.539
17,19.673519611358643,231,2.538
18,20.78954768180847,230,2.537
19,21.962435007095337,229,2.537
20,23.10038137435913,229,2.536
21,24.24837327003479,228,2.535
22,25.393441677093506,229,2.534
23,26.52151083946228,229,2.534
24,27.644452333450317,227,2.533
25,28.78948974609375,228,2.532
26,29.91341209411621,229,2.532
27,31.051476001739502,228,2.531
28,32.202449321746826,228,2.53
29,33.32741403579712,228,2.529
30,34.46428394317627,227,2.529
31,35.64342641830444,228,2.529
32,36.780380964279175,227,2.529
33,37.917386054992676,227,2.528
34,39.05842995643616,228,2.527
35,40.24923801422119,227,2.526
36,41.38635182380676,229,2.526
37,42.571449279785156,228,2.525
38,43.78123903274536,228,2.524
39,44.91975426673889,7,2.524
40,46.05541801452637,226,2.524
41,47.21921229362488,228,2.523
43,49.33283495903015,226,2.522
44,50.5603244304657,227,2.521
45,51.68529534339905,225,2.521
46,52.87535071372986,227,2.52
47,54.023287296295166,226,2.52
48,55.15919828414917,225,2.519
49,56.33526849746704,226,2.519
50,57.47315287590027,227,2.519
51,58.63471508026123,227,2.518
52,59.76823568344116,227,2.517
53,60.96820425987244,5,2.517
54,62.09221577644348,226,2.517
55,63.23120856285095,226,2.517
56,64.36819696426392,226,2.517
57,65.52121424674988,227,2.516
58,66.64217805862427,227,2.515
59,67.7801992893219,226,2.515
60,68.93008637428284,226,2.515
61,70.06917476654053,223,2.515
62,71.19214105606079,225,2.515
63,72.33206105232239,225,2.515
64,73.47814702987671,226,2.514
65,74.63733315467834,227,2.514
66,75.77124285697937,227,2.514
67,76.89322519302368,225,2.514
68,78.02422738075256,227,2.514
69,79.16126704216003,225,2.513
70,80.29617381095886,225,2.513
71,81.43426704406738,225,2.513
72,82.56822204589844,225,2.513
73,83.70518755912781,227,2.512
74,84.85316729545593,225,2.512
75,85.9911687374115,225,2.511
76,87.11110424995422,225,2.511
77,88.26208853721619,224,2.511
78,89.39914751052856,226,2.511
79,90.55214762687683,225,2.51
80,91.68517851829529,227,2.51
81,92.82299327850342,224,2.51
82,93.94502019882202,224,2.51
83,95.08106803894043,223,2.509
84,96.22304701805115,225,2.509
85,97.38210844993591,225,2.509
86,98.50309348106384,225,2.509
87,99.64193367958069,226,2.508
88,100.77807331085205,226,2.508
89,101.93006992340088,226,2.508
90,103.06805062294006,224,2.508
91,104.1920735836029,2,2.508
92,105.34299421310425,225,2.507
93,106.48303508758545,226,2.507
94,107.62108969688416,226,2.507
95,108.77104663848877,225,2.506
96,109.8939962387085,226,2.506
97,111.04698538780212,224,2.506
98,112.17045497894287,225,2.506
99,113.30886888504028,224,2.506
100,114.44696068763733,223,2.506
101,115.60195469856262,225,2.505
102,116.72589373588562,223,2.505
103,117.86698269844055,223,2.505
104,119.02006077766418,225,2.504
105,120.14498257637024,223,2.504
106,121.2799859046936,223,2.504
107,122.41697716712952,224,2.504
108,123.56691384315491,223,2.504
109,124.70382523536682,224,2.503
110,125.82496690750122,223,2.503
111,126.96503639221191,225,2.502
112,128.10090899467468,223,2.502
113,129.2599778175354,223,2.502
114,130.3819477558136,225,2.502
115,131.51994466781616,224,2.502
116,132.65593957901,223,2.501
117,133.77692079544067,224,2.501
118,134.92787098884583,225,2.501
119,136.0549292564392,223,2.5
120,137.20670795440674,223,2.5
121,138.34385442733765,224,2.5
122,139.4809467792511,223,2.5
123,140.6047306060791,224,2.5
124,141.75492405891418,224,2.5
125,142.88078665733337,223,2.5
126,144.0177035331726,224,2.499
127,145.1728870868683,223,2.498
128,146.30492448806763,225,2.498
129,147.45691561698914,224,2.498
130,148.58584117889404,225,2.498
131,149.73786163330078,223,2.498
132,150.871844291687,224,2.498
133,151.9978382587433,223,2.498
134,153.14679598808289,222,2.497
135,154.27382946014404,224,2.496
136,155.41079330444336,223,2.496
137,156.54981327056885,222,2.496
138,157.6998200416565,223,2.496
139,158.83680629730225,223,2.496
140,159.97288298606873,223,2.496
141,161.11181044578552,225,2.496
142,162.23366928100586,223,2.495
143,163.38580751419067,223,2.495
144,164.52460980415344,223,2.494
145,165.6868612766266,223,2.494
146,166.80875253677368,222,2.494
147,167.94674038887024,222,2.494
148,169.09581780433655,224,2.494
149,170.23269891738892,224,2.493
150,171.36274003982544,221,2.493
151,172.50369310379028,223,2.492
152,173.6407825946808,222,2.492
153,174.77870512008667,223,2.492
154,175.92882704734802,224,2.492
155,177.05058431625366,223,2.492
156,178.18672561645508,222,2.492
157,179.32474875450134,222,2.492
158,180.4597110748291,221,2.491
159,181.6136109828949,223,2.491
160,182.7366418838501,223,2.49
161,183.87577152252197,224,2.49
162,185.0255904197693,224,2.49
163,186.14874935150146,224,2.49
164,187.28460240364075,222,2.49
165,188.51463770866394,222,2.489
166,189.63855409622192,222,2.489
167,190.7786581516266,222,2.489
168,191.93275690078735,222,2.488
170,194.05611753463745,222,2.488
171,195.26363348960876,224,2.488
172,196.41267156600952,221,2.488
173,197.5375952720642,221,2.487
174,198.67454767227173,222,2.487
175,199.82963275909424,222,2.487
