loop,time,pressure,mass
0,0.10032773017883301,701,9.583
1,1.2895095348358154,699,9.583
2,2.4344842433929443,699,9.583
3,3.5804483890533447,699,9.583
4,4.727446794509888,700,9.583
5,5.882404088973999,699,9.583
6,7.031430959701538,700,9.582
7,8.159384727478027,701,9.582
8,9.314417123794556,700,9.582
9,10.45442819595337,700,9.582
10,11.584426879882812,699,9.582
11,12.724412679672241,700,9.582
12,13.88640832901001,699,9.582
13,15.026411533355713,700,9.582
14,16.156386852264404,701,9.582
15,17.297308683395386,700,9.582
16,18.442447423934937,702,9.582
17,19.596327304840088,701,9.582
18,20.7273428440094,700,9.582
19,21.868502855300903,700,9.582
20,23.01139497756958,699,9.582
21,24.155223608016968,700,9.582
