loop,time,pressure,mass
0,0.10034012794494629,592,8.814
1,2.6605539321899414,593,8.812
2,3.785417079925537,591,8.809
3,4.922418832778931,588,8.807
4,6.0744829177856445,593,8.804
5,7.213468551635742,590,8.801
6,8.350474119186401,590,8.794
7,9.53345513343811,589,8.793
8,10.674438714981079,587,8.793
9,11.857495069503784,588,8.791
10,12.981449842453003,586,8.788
11,14.11932635307312,587,8.782
12,15.307316064834595,587,8.781
13,16.459322690963745,585,8.779
14,17.631335258483887,4,8.777
15,18.766315460205078,585,8.775
16,19.921300888061523,586,8.772
17,21.05531907081604,583,8.77
18,22.182268619537354,584,8.763
19,23.36833620071411,582,8.763
20,24.533267736434937,583,8.762
21,25.704240798950195,583,8.754
22,26.91124391555786,582,8.752
23,28.0582218170166,580,8.752
24,29.20016837120056,581,8.747
25,30.372310876846313,579,8.745
26,31.50721263885498,579,8.744
27,32.70526719093323,579,8.742
28,33.840277671813965,578,8.736
29,35.01019048690796,580,8.733
30,36.209233045578,581,8.733
31,37.33545517921448,580,8.732
32,38.48930788040161,578,8.73
33,39.629249572753906,577,8.727
34,40.76522660255432,577,8.724
35,41.90518832206726,578,8.721
36,43.054176568984985,577,8.718
37,44.19420790672302,575,8.716
38,45.31619906425476,575,8.713
39,46.456169843673706,575,8.711
40,47.59217977523804,574,8.708
41,48.73214840888977,572,8.705
42,49.88119125366211,575,8.703
43,51.021164894104004,572,8.7
44,52.14715838432312,571,8.693
45,53.3581702709198,572,8.689
46,54.490081787109375,570,8.689
47,55.627033710479736,571,8.689
48,56.771050214767456,567,8.687
49,57.92704176902771,568,8.684
50,59.06504034996033,571,8.681
51,60.20306730270386,570,8.678
52,61.354137897491455,571,8.676
53,62.47834873199463,570,8.673
54,63.61609482765198,569,8.67
55,64.75403022766113,569,8.663
56,65.91296482086182,566,8.661
57,67.11883592605591,566,8.66
58,68.29598569869995,568,8.659
59,69.43408489227295,567,8.652
60,70.64209198951721,566,8.652
61,71.8159453868866,567,8.652
62,72.96504926681519,560,8.649
63,74.13893103599548,565,8.646
64,75.29301571846008,563,8.644
65,76.42995119094849,565,8.637
66,77.56484699249268,565,8.634
67,78.75695967674255,564,8.634
68,79.933034658432,562,8.632
69,81.06099081039429,560,8.63
70,82.21501350402832,558,8.624
71,83.38577389717102,562,8.623
72,84.52786016464233,559,8.622
73,85.72377324104309,559,8.62
74,86.84688925743103,561,8.617
75,87.98475408554077,560,8.614
76,89.12188220024109,558,8.608
77,90.28383231163025,560,8.606
78,91.45098328590393,558,8.605
79,92.6218614578247,560,8.602
80,93.78192496299744,559,8.6
81,94.90692138671875,559,8.597
82,96.04380393028259,557,8.595
83,97.1957175731659,557,8.589
84,98.36479139328003,556,8.587
85,99.55166172981262,555,8.586
86,100.71291184425354,554,8.584
87,101.83574175834656,554,8.581
88,102.97782897949219,556,8.575
89,104.13090705871582,556,8.573
90,105.27765822410583,555,8.572
91,106.47154259681702,555,8.571
92,107.62369418144226,553,8.565
93,108.79583239555359,553,8.564
94,109.94786190986633,553,8.563
95,111.11881184577942,551,8.555
96,112.27576541900635,551,8.554
97,113.46776938438416,550,8.551
98,114.58780431747437,552,8.548
99,115.77681922912598,550,8.546
100,116.95467925071716,549,8.545
101,118.15467357635498,546,8.544
102,119.27763676643372,551,8.537
104,121.42395758628845,547,8.535
105,122.54968357086182,547,8.533
106,123.73057651519775,546,8.531
107,124.86758208274841,546,8.528
108,126.01877498626709,547,8.525
109,127.15759921073914,548,8.519
110,128.3195595741272,546,8.517
111,129.47554302215576,547,8.516
112,130.62465167045593,543,8.515
113,131.80265593528748,544,8.508
114,132.9556999206543,542,8.507
115,134.11359453201294,542,8.506
116,135.3177752494812,544,8.504
117,136.45167517662048,542,8.502
118,137.5745038986206,543,8.495
119,138.75374341011047,544,8.493
120,139.9495873451233,544,8.492
121,141.10774850845337,543,8.491
122,142.22964668273926,542,8.484
123,143.38269090652466,540,8.481
124,144.58562469482422,539,8.48
125,145.7537031173706,540,8.478
126,146.94058442115784,537,8.474
127,148.10862851142883,539,8.473
128,149.2936294078827,538,8.467
129,150.47857928276062,541,8.466
130,151.60639476776123,538,8.465
131,152.7716042995453,539,8.464
132,153.97951865196228,539,8.461
133,155.1166009902954,537,8.459
134,156.26861357688904,536,8.456
135,157.40559363365173,536,8.453
136,158.530499458313,535,8.45
137,159.66740012168884,537,8.448
138,160.80657172203064,533,8.445
139,161.94348096847534,534,8.442
140,163.09563660621643,530,8.44
141,164.23235440254211,533,8.437
142,165.35762667655945,535,8.434
143,166.49449491500854,532,8.427
144,167.6565968990326,531,8.425
145,168.8745813369751,531,8.423
146,170.06252217292786,530,8.423
147,171.24750685691833,529,8.421
148,172.37355995178223,532,8.418
149,173.52341771125793,29,8.412
150,174.7145640850067,528,8.408
151,175.9135296344757,528,8.405
152,177.03131103515625,529,8.404
153,178.18741941452026,530,8.403
154,179.33141326904297,530,8.399
155,180.48418378829956,528,8.398
156,181.68532514572144,529,8.392
157,182.85051918029785,528,8.392
158,183.99352502822876,528,8.389
159,185.21946048736572,526,8.385
160,186.3804407119751,527,8.384
161,187.59442925453186,525,8.379
162,188.79438972473145,525,8.378
163,189.9125156402588,524,8.377
164,191.0845546722412,523,8.375
165,192.28550815582275,522,8.372
166,193.42450094223022,524,8.37
167,194.57650780677795,525,8.367
168,195.71345925331116,523,8.364
169,196.85139155387878,522,8.357
170,197.99654531478882,520,8.355
171,199.1514973640442,522,8.355
172,200.37836027145386,520,8.353
173,201.58938717842102,520,8.351
174,202.71918606758118,519,8.344
175,203.9213683605194,520,8.343
176,205.05740523338318,520,8.341
177,206.2243082523346,520,8.336
178,207.40839958190918,517,8.334
179,208.60732793807983,517,8.333
180,209.75639748573303,518,8.327
181,210.89249181747437,516,8.323
182,212.09949779510498,515,8.322
183,213.27243161201477,18,8.32
184,214.420414686203,517,8.316
185,215.53732252120972,515,8.313
186,216.69048643112183,513,8.311
187,217.89920163154602,513,8.311
188,219.07035565376282,515,8.309
189,220.27037024497986,516,8.306
191,222.40778493881226,512,8.298
192,223.58234429359436,512,8.296
193,224.73435711860657,511,8.296
194,225.865332365036,512,8.294
195,227.0063362121582,511,8.291
196,228.12721419334412,510,8.284
197,229.28922939300537,509,8.283
198,230.4631154537201,508,8.282
199,231.6391315460205,510,8.28
200,232.7722909450531,511,8.274
201,233.95919728279114,510,8.274
