T,M
1745328935.512580,8.676000
1745328965.660527,8.675000
1745328995.815369,8.674000
1745329026.011218,8.673000
1745329056.213076,8.671000
1745329086.354946,8.670000
1745329116.496736,8.669000
1745329146.683724,8.668000
1745329176.807492,8.667000
1745329206.971361,8.665000
1745329237.187212,8.665000
1745329267.312134,8.663000
1745329297.478924,8.663000
1745329327.653802,8.661000
1745329357.792685,8.660000
1745329387.977493,8.659000
1745329418.192406,8.658000
1745329448.378232,8.656000
1745329478.516128,8.655000
1745329508.668017,8.654000
1745329538.889844,8.653000
1745329569.029761,8.652000
1745329599.194585,8.651000
1745329629.349493,8.650000
1745329659.553347,8.648000
1745329689.749253,8.648000
1745329719.885135,8.647000
1745329750.033005,8.646000
1745329780.187872,8.645000
1745329810.387787,8.644000
1745329840.547626,8.643000
1745329870.753467,8.642000
1745329900.889355,8.641000
1745329931.002229,8.640000
1745329961.180150,8.638000
1745329991.325026,8.638000
1745330021.489907,8.636000
1745330051.681783,8.635000
1745330081.874669,8.634000
1745330112.087541,8.632000
1745330142.208380,8.632000
1745330172.345261,8.631000
1745330202.487189,8.629000
1745330232.691066,8.629000
1745330262.901946,8.628000
1745330293.086788,8.627000
1745330323.224718,8.626000
1745330353.370617,8.625000
1745330383.488473,8.623000
1745330413.658356,8.623000
1745330443.810239,8.621000
1745330473.977126,8.620000
1745330504.096004,8.620000
1745330534.236850,8.618000
1745330564.370770,8.617000
1745330594.494657,8.616000
1745330624.731492,8.615000
1745330654.862385,8.614000
1745330685.069263,8.613000
1745330715.220190,8.612000
1745330745.438067,8.611000
1745330775.653950,8.610000
1745330805.774833,8.609000
1745330835.944731,8.608000
1745330866.080607,8.607000
1745330896.270487,8.606000
1745330926.432300,8.605000
1745330956.647258,8.604000
1745330986.763112,8.603000
1745331016.970987,8.602000
1745331047.137864,8.601000
1745331077.327784,8.600000
1745331107.542632,8.599000
1745331137.729558,8.598000
1745331167.945437,8.597000
1745331198.091326,8.595000
1745331228.283138,8.595000
1745331258.411088,8.594000
1745331288.554978,8.591000
1745331318.690867,8.788000
1745331348.887742,8.636000
1745331379.014629,8.551000
1745331409.148473,8.351000
1745331439.290352,8.063000
1745331469.449280,8.022000
