loop,time,pressure
166,167.93801045417786,260
167,168.94015860557556,264
168,169.94296717643738,258
169,170.944922208786,260
170,171.94781398773193,257
171,172.9497468471527,258
172,173.9518837928772,260
173,174.95434188842773,262
174,175.95673394203186,254
175,176.95969820022583,257
176,177.9622449874878,257
177,178.9654679298401,256
178,179.96848011016846,256
179,180.97177481651306,256
180,181.97403478622437,256
181,182.9760024547577,256
182,183.978755235672,256
183,184.9816255569458,255
184,185.98420310020447,255
185,186.98620986938477,255
186,187.9897222518921,255
187,188.99261689186096,255
188,189.9957196712494,254
189,190.99776244163513,254
190,192.00019073486328,257
191,193.0032787322998,256
192,194.00664162635803,264
193,195.0089647769928,255
194,196.01221680641174,255
195,197.01514887809753,252
196,198.0176179409027,254
197,199.0199146270752,252
198,200.02245116233826,253
199,201.02464699745178,252
200,202.02641820907593,252
201,203.02994656562805,251
202,204.03246188163757,251
203,205.03590154647827,250
204,206.03889918327332,251
205,207.0417516231537,251
206,208.04446363449097,252
207,209.0473439693451,250
208,210.04992198944092,253
209,211.05364632606506,250
210,212.05645871162415,252
211,213.05886507034302,250
212,214.06198024749756,251
213,215.06436252593994,249
214,216.06737089157104,251
215,217.07020330429077,249
216,218.07286286354065,251
217,219.076171875,249
218,220.07888340950012,248
219,221.08130288124084,245
220,222.08305072784424,252
221,223.08502888679504,250
222,224.08830761909485,253
223,225.09133768081665,249
224,226.0939393043518,249
225,227.09668350219727,242
226,228.0992591381073,244
227,229.10281372070312,256
228,230.1059172153473,248
229,231.10889673233032,249
230,232.1114661693573,247
231,233.114577293396,248
232,234.11620354652405,247
233,235.11956548690796,247
234,236.1225781440735,246
235,237.12462043762207,245
236,238.12660026550293,246
237,239.12984108924866,246
238,240.1326024532318,247
239,241.13493847846985,246
240,242.13834643363953,245
241,243.1406946182251,244
242,244.143896818161,248
243,245.1471767425537,244
244,246.15022683143616,244
245,247.15326523780823,245
246,248.1566412448883,244
247,249.1603560447693,247
248,250.16332268714905,246
249,251.16597032546997,244
250,252.16888308525085,243
251,253.17089343070984,243
252,254.17364144325256,244
253,255.17580199241638,246
254,256.1789267063141,247
255,257.1821677684784,244
256,258.1853051185608,245
257,259.18808126449585,244
258,260.1910774707794,241
259,261.19373631477356,236
260,262.1959948539734,244
261,263.1990075111389,241
262,264.20129108428955,242
263,265.2040419578552,242
264,266.20642471313477,241
265,267.2089931964874,242
266,268.21203565597534,243
267,269.2147207260132,243
268,270.2178349494934,240
269,271.2208688259125,242
270,272.22277331352234,235
271,273.2262005805969,241
272,274.2284483909607,241
273,275.2308461666107,240
274,276.23337507247925,240
275,277.236629486084,240
276,278.23868441581726,241
277,279.2409551143646,242
278,280.2441382408142,239
279,281.24761152267456,239
280,282.25061774253845,240
281,283.25398564338684,240
282,284.25684428215027,240
283,285.2603266239166,240
284,286.26289558410645,241
285,287.26526141166687,238
286,288.26849126815796,242
287,289.2715983390808,238
288,290.27488255500793,239
289,291.27874064445496,239
290,292.28208780288696,239
291,293.2839779853821,240
292,294.28634786605835,238
293,295.28898096084595,238
294,296.291610956192,237
295,297.2948787212372,237
296,298.29890871047974,234
297,299.30245637893677,238
298,300.3056130409241,240
299,301.3099253177643,237
300,302.3122534751892,237
301,303.3151500225067,239
302,304.3180034160614,235
303,305.3269593715668,236
304,306.32877135276794,238
305,307.3318166732788,237
306,308.33528661727905,235
307,309.33757281303406,234
308,310.340624332428,229
309,311.3431439399719,235
310,312.3461103439331,235
311,313.3489055633545,234
312,314.3518407344818,237
313,315.354373216629,234
314,316.35735034942627,234
315,317.3598165512085,234
316,318.3626356124878,230
317,319.36535906791687,233
318,320.36892557144165,234
319,321.3717885017395,235
320,322.3743782043457,234
321,323.3774223327637,234
322,324.38010716438293,232
323,325.3832120895386,228
324,326.3862600326538,234
