loop,time,pressure
0,0.10114932060241699,247
1,2.471792697906494,245
5,6.480009317398071,246
6,7.481921672821045,44
7,8.515661239624023,244
8,9.517852306365967,244
9,10.52003788948059,245
10,11.521929025650024,244
11,12.523937702178955,246
12,13.525914907455444,244
13,14.527905702590942,246
14,15.530871152877808,245
15,16.532934188842773,244
16,17.534964084625244,243
17,18.536280870437622,244
18,19.538362979888916,245
19,20.539936304092407,244
20,21.54206156730652,245
21,22.543954133987427,245
22,23.544983863830566,243
23,24.546940088272095,243
24,25.549968242645264,244
25,26.5510036945343,244
26,27.55196475982666,245
27,28.5540030002594,244
28,29.556025981903076,244
29,30.557980060577393,245
30,31.559865474700928,244
31,32.56197786331177,243
32,33.564465284347534,243
33,34.56610107421875,242
35,36.56955051422119,243
36,37.57299733161926,244
37,38.575180530548096,4
38,39.577770709991455,4
40,41.581889629364014,244
41,42.58397197723389,244
42,43.5858941078186,44
43,44.587599992752075,244
44,45.58989071846008,243
45,46.592002630233765,243
46,47.59395670890808,242
47,48.59570336341858,242
48,49.59678268432617,242
49,50.59923601150513,242
50,51.60178303718567,241
51,52.60370087623596,241
52,53.60503339767456,241
53,54.60603928565979,241
54,55.60796523094177,243
55,56.61004567146301,242
56,57.612387895584106,242
57,58.61401915550232,241
58,59.61602187156677,240
59,60.61696457862854,242
60,61.61938142776489,242
61,62.62198734283447,243
62,63.62400507926941,244
63,64.62498497962952,243
64,65.62706923484802,241
65,66.62972784042358,242
66,67.6311182975769,241
67,68.63249039649963,242
68,69.63504028320312,242
69,70.63691449165344,241
70,71.63867330551147,240
71,72.63996434211731,241
72,73.64194321632385,241
73,74.64330267906189,240
74,75.64588713645935,240
75,76.64715099334717,242
76,77.6489040851593,240
77,78.65099501609802,241
78,79.65217471122742,242
79,80.65476369857788,241
80,81.65599083900452,239
81,82.65775561332703,240
82,83.65901374816895,238
83,84.66147446632385,240
84,85.66326475143433,239
85,86.66496753692627,239
86,87.6674690246582,239
87,88.66998386383057,240
88,89.6717140674591,240
89,90.67390322685242,241
90,91.67639517784119,242
91,92.67839288711548,241
92,93.6801290512085,241
93,94.68195462226868,239
94,95.6841721534729,239
95,96.68615579605103,240
96,97.68885540962219,240
97,98.69098544120789,241
98,99.6930181980133,240
99,100.69513654708862,240
100,101.6971595287323,240
101,102.69906902313232,240
102,103.70141291618347,239
103,104.70383358001709,239
104,105.70579504966736,239
105,106.70745038986206,238
